timestamp,spot,mi_nota_10,comentario,score_parte_10,main_h,main_per,main_dir,wind_spd,wind_dir,tide,w_state,id
2026-03-06 13:30:00+00:00,Telamon,2.5,,1.736842105263158,0.36,8.25,32.0,40.1,31.0,0.29,LADO,49ed3f59-0bee-4393-9939-342758ad828e
,Telamon,4.5,"Estaba súper bien, pero marea muy bua ",2.3157894736842106,1.16,7.1,63.0,35.1,27.0,-0.45,LADO,3122dda5-fa1b-4843-be3c-64697ad80f36
,Telamon,4.5,,2.3157894736842106,1.16,7.1,63.0,35.1,27.0,-0.45,LADO,4f00ae43-3aa2-45de-b0d4-1321cf37331b
,Telamon,4.5,,2.3157894736842106,1.16,7.1,63.0,35.1,27.0,-0.45,LADO,54cf621e-71cb-4b82-80cf-b0b64108ab4b
,Telamon,6.0,Coeficiente de marea llena bajo pero posible baño ,2.3157894736842106,1.16,6.3,69.0,45.2,16.0,0.03,LADO,d9ce7214-15ef-4ac3-a9e1-8edee1cba50e
,Telamon,5.5,"Marea muy baja, 0.2 ",2.3157894736842106,1.32,6.55,46.0,20.2,11.0,-0.1,LADO,4e3c3235-6176-49e6-94d5-60e877ac6ba0
,Telamon,1.0,,1.1578947368421053,0.52,6.1,26.0,32.2,40.0,-0.25,ON,e9b437b6-ceee-4c3f-b0f0-ab45dbdc376f
,Telamon,1.0,,2.3157894736842106,0.78,5.4,52.0,29.9,31.0,0.33,LADO,c35b8c4e-efbb-489c-855a-9661a7696c12
,Telamon,1.0,,1.1578947368421053,0.56,5.6,37.0,11.1,77.0,-1.09,ON,6b2c117a-78aa-4306-85f5-c139727b6051
,Telamon,1.0,,0.5789473684210527,0.38,5.85,26.0,12.6,193.0,0.75,ON,2333ae7b-77c5-4932-9bac-e256af0d0bb7
2026-03-20T13:45:00+00:00,Telamon,8.0,,3.6842105263157894,0.76,6.3,200.0,26.4,212.0,1.15,ON,74c599b8-7e0f-44ba-9e49-a9f1b43b3e2d
